timestamp,household_id,consumption_kwh,temperature,hour,day_of_week
2023-01-01 00:00:00,HH001,0.56,14.2,0,6
2023-01-01 00:00:00,HH002,1.0,17.0,0,6
2023-01-01 00:00:00,HH003,1.17,16.7,0,6
2023-01-01 00:00:00,HH004,0.9,10.3,0,6
2023-01-01 00:00:00,HH005,1.18,18.4,0,6
2023-01-01 01:00:00,HH001,0.77,20.6,1,6
2023-01-01 01:00:00,HH002,0.78,14.5,1,6
2023-01-01 01:00:00,HH003,0.93,14.3,1,6
2023-01-01 01:00:00,HH004,0.99,16.0,1,6
2023-01-01 01:00:00,HH005,1.06,13.7,1,6
2023-01-01 02:00:00,HH001,0.5,14.1,2,6
2023-01-01 02:00:00,HH002,0.61,12.1,2,6
2023-01-01 02:00:00,HH003,0.48,15.0,2,6
2023-01-01 02:00:00,HH004,0.98,16.0,2,6
2023-01-01 02:00:00,HH005,0.84,19.0,2,6
2023-01-01 03:00:00,HH001,0.62,17.1,3,6
2023-01-01 03:00:00,HH002,0.44,16.7,3,6
2023-01-01 03:00:00,HH003,0.71,16.4,3,6
2023-01-01 03:00:00,HH004,1.02,13.6,3,6
2023-01-01 03:00:00,HH005,0.9,15.4,3,6
2023-01-01 04:00:00,HH001,0.72,13.1,4,6
2023-01-01 04:00:00,HH002,0.98,13.3,4,6
2023-01-01 04:00:00,HH003,0.69,18.8,4,6
2023-01-01 04:00:00,HH004,1.02,13.1,4,6
2023-01-01 04:00:00,HH005,1.03,14.0,4,6
2023-01-01 05:00:00,HH001,0.67,17.4,5,6
2023-01-01 05:00:00,HH002,0.71,10.9,5,6
2023-01-01 05:00:00,HH003,1.05,14.6,5,6
2023-01-01 05:00:00,HH004,1.4,17.5,5,6
2023-01-01 05:00:00,HH005,1.03,15.4,5,6
2023-01-01 06:00:00,HH001,1.26,12.1,6,6
2023-01-01 06:00:00,HH002,1.25,14.2,6,6
2023-01-01 06:00:00,HH003,1.25,14.1,6,6
2023-01-01 06:00:00,HH004,1.87,17.1,6,6
2023-01-01 06:00:00,HH005,2.04,11.5,6,6
2023-01-01 07:00:00,HH001,1.5,16.1,7,6
2023-01-01 07:00:00,HH002,1.34,18.0,7,6
2023-01-01 07:00:00,HH003,2.02,16.0,7,6
2023-01-01 07:00:00,HH004,2.08,15.7,7,6
2023-01-01 07:00:00,HH005,1.56,14.9,7,6
2023-01-01 08:00:00,HH001,2.11,12.5,8,6
2023-01-01 08:00:00,HH002,1.89,16.1,8,6
2023-01-01 08:00:00,HH003,2.38,17.9,8,6
2023-01-01 08:00:00,HH004,2.16,15.2,8,6
2023-01-01 08:00:00,HH005,2.57,18.7,8,6
2023-01-01 09:00:00,HH001,1.5,20.0,9,6
2023-01-01 09:00:00,HH002,1.79,12.2,9,6
2023-01-01 09:00:00,HH003,2.3,12.3,9,6
2023-01-01 09:00:00,HH004,1.77,10.7,9,6
2023-01-01 09:00:00,HH005,2.82,11.5,9,6
2023-01-01 10:00:00,HH001,1.24,14.2,10,6
2023-01-01 10:00:00,HH002,1.49,17.5,10,6
2023-01-01 10:00:00,HH003,1.77,13.2,10,6
2023-01-01 10:00:00,HH004,1.37,23.2,10,6
2023-01-01 10:00:00,HH005,1.69,19.6,10,6
2023-01-01 11:00:00,HH001,1.26,20.3,11,6
2023-01-01 11:00:00,HH002,1.48,16.1,11,6
2023-01-01 11:00:00,HH003,1.95,13.4,11,6
2023-01-01 11:00:00,HH004,1.44,16.7,11,6
2023-01-01 11:00:00,HH005,1.93,16.7,11,6
2023-01-01 12:00:00,HH001,1.18,18.0,12,6
2023-01-01 12:00:00,HH002,1.8,17.8,12,6
2023-01-01 12:00:00,HH003,2.04,12.7,12,6
2023-01-01 12:00:00,HH004,2.28,16.0,12,6
2023-01-01 12:00:00,HH005,2.25,17.8,12,6
2023-01-01 13:00:00,HH001,1.12,10.4,13,6
2023-01-01 13:00:00,HH002,1.76,17.0,13,6
2023-01-01 13:00:00,HH003,1.95,17.1,13,6
2023-01-01 13:00:00,HH004,2.14,14.3,13,6
2023-01-01 13:00:00,HH005,1.88,11.5,13,6
2023-01-01 14:00:00,HH001,1.18,13.6,14,6
2023-01-01 14:00:00,HH002,1.7,17.0,14,6
2023-01-01 14:00:00,HH003,1.61,16.9,14,6
2023-01-01 14:00:00,HH004,1.48,17.1,14,6
2023-01-01 14:00:00,HH005,1.69,8.5,14,6
2023-01-01 15:00:00,HH001,1.13,22.5,15,6
2023-01-01 15:00:00,HH002,1.75,15.3,15,6
2023-01-01 15:00:00,HH003,1.55,10.9,15,6
2023-01-01 15:00:00,HH004,1.73,15.7,15,6
2023-01-01 15:00:00,HH005,2.48,22.0,15,6
2023-01-01 16:00:00,HH001,1.15,8.8,16,6
2023-01-01 16:00:00,HH002,1.99,12.6,16,6
2023-01-01 16:00:00,HH003,2.26,17.9,16,6
2023-01-01 16:00:00,HH004,2.49,17.9,16,6
2023-01-01 16:00:00,HH005,2.77,20.4,16,6
2023-01-01 17:00:00,HH001,1.54,18.2,17,6
2023-01-01 17:00:00,HH002,2.56,16.2,17,6
2023-01-01 17:00:00,HH003,2.38,15.8,17,6
2023-01-01 17:00:00,HH004,2.74,19.5,17,6
2023-01-01 17:00:00,HH005,3.16,14.7,17,6
2023-01-01 18:00:00,HH001,2.57,8.8,18,6
2023-01-01 18:00:00,HH002,2.72,19.6,18,6
2023-01-01 18:00:00,HH003,3.39,11.4,18,6
2023-01-01 18:00:00,HH004,3.68,14.5,18,6
2023-01-01 18:00:00,HH005,3.58,18.5,18,6
2023-01-01 19:00:00,HH001,2.5,12.3,19,6
2023-01-01 19:00:00,HH002,3.16,15.8,19,6
2023-01-01 19:00:00,HH003,2.72,10.8,19,6
2023-01-01 19:00:00,HH004,3.65,10.2,19,6
2023-01-01 19:00:00,HH005,4.55,16.6,19,6
2023-01-01 20:00:00,HH001,2.24,16.9,20,6
2023-01-01 20:00:00,HH002,2.91,15.5,20,6
2023-01-01 20:00:00,HH003,3.4,13.0,20,6
2023-01-01 20:00:00,HH004,3.55,15.2,20,6
2023-01-01 20:00:00,HH005,4.1,16.6,20,6
2023-01-01 21:00:00,HH001,2.02,10.0,21,6
2023-01-01 21:00:00,HH002,2.58,18.6,21,6
2023-01-01 21:00:00,HH003,2.73,15.6,21,6
2023-01-01 21:00:00,HH004,3.23,22.8,21,6
2023-01-01 21:00:00,HH005,2.98,13.1,21,6
2023-01-01 22:00:00,HH001,1.59,15.2,22,6
2023-01-01 22:00:00,HH002,2.06,17.3,22,6
2023-01-01 22:00:00,HH003,1.88,8.8,22,6
2023-01-01 22:00:00,HH004,2.89,13.2,22,6
2023-01-01 22:00:00,HH005,2.95,12.9,22,6
2023-01-01 23:00:00,HH001,1.45,14.0,23,6
2023-01-01 23:00:00,HH002,1.19,14.2,23,6
